 compound; masstime; test; p_orig; p_FDR; p_Bonf; FC; ms; gaps1; gaps2
nan;764.55775@12.93;aSYN--comb.;0.000022;0.005116;0.120583;3.372242;0.038174;0;8
nan;720.55318@13.021;aSYN--comb.;0.000000;0.000001;0.000002;-2.787247;1.210478;5;0
nan;705.58999@13.055;aSYN--comb.;0.000327;0.039693;1.000000;-1.855377;0.000000;0;0
nan;768.55058@13.285;aSYN--comb.;0.000266;0.034184;1.000000;-2.301648;0.204164;1;0
nan;766.57323@13.345;aSYN--comb.;0.000222;0.030113;1.000000;2.788871;0.000000;0;1
nan;788.5558@13.347;aSYN--comb.;0.000131;0.019926;0.731607;2.595527;0.000000;1;5
nan;676.52678@13.42;aSYN--comb.;0.000009;0.002654;0.051902;-3.328504;0.000000;3;0
nan;718.57388@13.441;aSYN--comb.;0.000054;0.010007;0.301117;-1.883630;0.007929;0;0
nan;742.5736@13.469;aSYN--comb.;0.000074;0.012934;0.413057;1.638527;0.000000;0;0
nan;764.55536@13.472;aSYN--comb.;0.000109;0.017333;0.608140;1.922034;0.000000;0;0
nan;730.57343@14.433;aSYN--comb.;0.000003;0.000904;0.014438;-2.574091;0.000000;6;0
nan;811.66758@14.55;aSYN--comb.;0.000078;0.013455;0.434094;-1.569938;0.000000;8;0
